chainage (m),Q (m3/s),flood levels (masl)
20320.12022731336,13590.984332161781,121.69150894997765
25138.71563326932,16280.417723593524,122.21648963836655
21018.672568092734,10978.228460570828,120.98936771435713
19894.45318718967,5818.173117067208,116.35012167011668
10250.238530798008,11645.184635236887,122.49271116845816
19103.989705010707,7320.534621021274,115.3992641238666
29088.413627891143,10939.050617243236,120.26795289656297
19812.767471950505,6668.18279575324,116.4071634101574
5724.075713969906,10440.522647783275,120.04079074143897
6500.5224068223215,7074.879506537329,118.10262235912771
2588.745378563915,12130.095181806679,124.97280197201206
21954.584521214198,11881.227404582343,120.2586346958304
11002.373747883748,10966.164036542908,122.04941356629863
26966.08556218601,9062.577837531611,117.53366644682217
26850.965635583958,12259.033659979888,120.40896079452654
338.21353489834473,8441.514449822616,119.2147055528017
7915.522051268857,9229.17866363815,117.62350364178774
16833.40209465542,13776.640369204022,124.39943446775635
4545.1746343205195,7299.788855629697,118.76861221684828
25801.834785036805,6333.063456796948,116.81220188667514
12204.390517302514,8407.07349897609,121.84202834368702
8503.231870782929,10632.026667199776,119.20123238774212
24791.627317463503,17809.57691954042,123.02881485426448
27013.35608941132,11123.303619859065,119.7611840245608
253.8646307457457,6118.951981031292,116.48380800878444
34675.88858589572,8079.216744347713,116.9246670653233
29200.447597876017,13646.793460995528,121.99303054855247
9030.305182723303,8666.458716392639,118.46652473190788
9226.725315085676,6350.331988724025,115.96851681148965
21370.272341275868,7517.689600142709,117.07954979936684
10895.594311305626,14680.061942086108,124.35905118349243
15609.363221706295,12388.02035136023,120.34513653487613
11558.25017480133,4794.597177705292,117.59738009872473
12079.020261668902,5384.028824417672,118.48860262133934
27458.241794375477,3207.0134759549846,113.54607101756076
12599.83825032445,10940.148939447374,124.65818678451579
7935.184754750266,12816.787372367095,121.84610706417327
29529.405060196485,7774.729406033153,117.47711277383252
13947.501207848947,12043.795252296492,123.66977826300297
6989.003875719386,9411.226852423699,120.42419723458787
3432.9732300004357,16967.811010263078,127.82653688842709
915.7929167323974,10174.742716249268,121.2692680749465
27366.71754300727,11220.67785460467,120.03768526722429
22765.939499865694,10651.870968948037,119.27445028574299
33502.610487765836,5621.391187225916,113.2116151589144
9335.680436965029,12872.184599003562,122.00228424543778
25142.502338180573,13556.390849370317,120.97302484277239
30791.891277766328,5269.151875354293,114.18149959822505
21992.417151820406,11524.370569885014,120.68368269585066
